"year","SASAP.Region","species","p_conf","sector","source_report","harvest"
1981,"Chignik","sockeye",NA,"Commercial","Report",1839469
1981,"Cook Inlet","chinook",0,"Commercial",NA,13312
1981,"Cook Inlet","chum",0,"Commercial",NA,1166781
1981,"Cook Inlet","coho",0,"Commercial",NA,493515
1981,"Cook Inlet","pink",0,"Commercial",NA,3396853
1981,"Cook Inlet","sockeye",0,"Commercial",NA,1543731
1981,"Copper River","chinook",NA,"Commercial","Report",20378
1981,"Copper River","chum",NA,"Commercial","Report",10106
1981,"Copper River","coho",NA,"Commercial","Report",392780
1981,"Copper River","pink",NA,"Commercial","Report",33834
1981,"Copper River","sockeye",NA,"Commercial","Report",533247
1981,"Kodiak","chinook",NA,"Commercial","Report",1418
1981,"Kodiak","chum",NA,"Commercial","Report",1345313
1981,"Kodiak","coho",NA,"Commercial","Report",121544
1981,"Kodiak","pink",NA,"Commercial","Report",10336747
1981,"Kodiak","sockeye",NA,"Commercial","Report",1288949
1981,"Kotzebue","chinook",0,"Commercial",NA,79
1981,"Kotzebue","chum",NA,"Commercial","Report",677239
1981,"Kotzebue","pink",0,"Commercial",NA,156
1981,"Kuskokwim","chinook",NA,"Commercial","Report",79377
1981,"Kuskokwim","chum",NA,"Commercial","Report",485653
1981,"Kuskokwim","coho",NA,"Commercial","Report",278551
1981,"Kuskokwim","pink",NA,"Commercial","Report",463
1981,"Kuskokwim","sockeye",NA,"Commercial","Report",105940
1981,"Norton Sound","chinook",NA,"Commercial","Report",7929
1981,"Norton Sound","chum",NA,"Commercial","Report",169708
1981,"Norton Sound","coho",NA,"Commercial","Report",31562
1981,"Norton Sound","pink",NA,"Commercial","Report",232479
1981,"Norton Sound","sockeye",NA,"Commercial","Report",56
1981,"Prince William Sound","chinook",0,"Commercial",NA,381
1981,"Prince William Sound","chum",0,"Commercial",NA,1878507
1981,"Prince William Sound","coho",0,"Commercial",NA,4383
1981,"Prince William Sound","pink",0,"Commercial",NA,19817065
1981,"Prince William Sound","sockeye",0,"Commercial",NA,251210
1981,"Southeast","chinook",0,"Commercial",NA,270515
1981,"Southeast","chum",0,"Commercial",NA,821495
1981,"Southeast","coho",0,"Commercial",NA,1348242
1981,"Southeast","pink",0,"Commercial",NA,18545633
1981,"Southeast","sockeye",0,"Commercial",NA,1047433
1981,"Yukon","chinook",0,"Commercial",NA,155715
1981,"Yukon","chum",0,"Commercial",NA,1461255
1981,"Yukon","coho",0,"Commercial",NA,23592
1982,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",39615
1982,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",2609776
1982,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",494090
1982,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",8195044
1982,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",3783930
1982,"Bristol Bay","chinook",0,"Commercial",NA,252914
1982,"Bristol Bay","chum",0,"Commercial",NA,822218
1982,"Bristol Bay","coho",0,"Commercial",NA,619341
1982,"Bristol Bay","pink",0,"Commercial",NA,1491827
1982,"Bristol Bay","sockeye",0,"Commercial",NA,15083063
1982,"Chignik","chinook",NA,"Commercial","Report",5236
1982,"Chignik","chum",NA,"Commercial","Report",390096
1982,"Chignik","coho",NA,"Commercial","Report",300273
1982,"Chignik","pink",NA,"Commercial","Report",873384
1982,"Chignik","sockeye",NA,"Commercial","Report",1521686
1982,"Cook Inlet","chinook",0,"Commercial",NA,21915
1982,"Cook Inlet","chum",0,"Commercial",NA,1630451
1982,"Cook Inlet","coho",0,"Commercial",NA,838029
1982,"Cook Inlet","pink",0,"Commercial",NA,1342063
1982,"Cook Inlet","sockeye",0,"Commercial",NA,3390023
1982,"Copper River","chinook",NA,"Commercial","Report",47616
1982,"Copper River","chum",NA,"Commercial","Report",1510
1982,"Copper River","coho",NA,"Commercial","Report",599515
1982,"Copper River","pink",NA,"Commercial","Report",7201
